,Actual_outcome,prob_0,prob_1
518,0,0.63,0.37
519,0,0.57,0.43
520,0,0.54,0.46
521,1,0.45,0.55
522,0,0.76,0.24
523,0,0.66,0.34
524,0,0.61,0.39
525,0,0.77,0.23
526,1,0.42,0.58
527,0,0.64,0.36
528,1,0.4,0.6
529,0,0.71,0.29
530,0,0.55,0.45
531,0,0.79,0.21
532,0,0.56,0.44
533,0,0.54,0.46
534,0,0.65,0.35
535,0,0.76,0.24
536,0,0.59,0.41
537,0,0.62,0.38
538,1,0.48,0.52
539,0,0.78,0.22
540,0,0.55,0.45
541,0,0.62,0.38
542,0,0.59,0.41
543,0,0.81,0.19
544,0,0.59,0.41
545,0,0.73,0.27
546,0,0.59,0.41
547,0,0.58,0.42
548,0,0.61,0.39
549,0,0.66,0.34
550,0,0.66,0.34
551,0,0.6,0.4
552,0,0.55,0.45
553,0,0.63,0.37
554,1,0.39,0.61
555,0,0.8,0.2
556,0,0.65,0.35
557,0,0.68,0.32
558,0,0.57,0.43
559,0,0.7,0.3
560,0,0.61,0.39
561,0,0.62,0.38
562,1,0.44,0.56
563,0,0.77,0.23
564,0,0.7,0.3
565,0,0.78,0.22
566,0,0.54,0.46
567,0,0.54,0.46
568,0,0.5,0.5
569,0,0.62,0.38
570,0,0.61,0.39
571,0,0.6,0.4
572,0,0.51,0.49
573,1,0.42,0.58
574,0,0.55,0.45
575,0,0.57,0.43
576,0,0.54,0.46
577,0,0.55,0.45
578,0,0.62,0.38
579,0,0.53,0.47
580,1,0.37,0.63
581,1,0.41,0.59
582,0,0.56,0.44
583,0,0.68,0.32
584,0,0.71,0.29
585,0,0.62,0.38
586,0,0.75,0.25
587,0,0.81,0.19
588,0,0.75,0.25
589,0,0.69,0.31
590,0,0.64,0.36
591,1,0.47,0.53
592,0,0.68,0.32
593,0,0.59,0.41
594,0,0.52,0.48
595,0,0.77,0.23
596,0,0.6,0.4
597,0,0.69,0.31
598,0,0.63,0.37
599,0,0.57,0.43
600,0,0.52,0.48
601,0,0.56,0.44
602,0,0.69,0.31
603,0,0.62,0.38
604,0,0.62,0.38
605,0,0.58,0.42
606,0,0.59,0.41
607,0,0.69,0.31
608,1,0.45,0.55
609,0,0.69,0.31
610,0,0.7,0.3
611,0,0.72,0.28
612,1,0.44,0.56
613,1,0.4,0.6
614,1,0.48,0.52
615,0,0.7,0.3
616,0,0.76,0.24
617,0,0.56,0.44
618,0,0.68,0.32
619,0,0.78,0.22
620,0,0.68,0.32
621,0,0.5,0.5
622,0,0.67,0.33
623,0,0.84,0.16
624,0,0.77,0.23
625,0,0.75,0.25
626,1,0.42,0.58
627,0,0.54,0.46
628,0,0.69,0.31
629,0,0.84,0.16
630,1,0.44,0.56
631,0,0.83,0.17
632,0,0.7,0.3
633,0,0.69,0.31
634,0,0.6,0.4
635,0,0.62,0.38
636,0,0.66,0.34
637,0,0.6,0.4
638,0,0.64,0.36
639,0,0.59,0.41
640,1,0.46,0.54
641,0,0.69,0.31
642,0,0.55,0.45
643,0,0.58,0.42
644,0,0.5,0.5
645,0,0.66,0.34
646,0,0.74,0.26
647,1,0.34,0.66
648,0,0.82,0.18
649,0,0.57,0.43
650,0,0.57,0.43
651,0,0.8,0.2
652,0,0.67,0.33
653,0,0.68,0.32
654,0,0.73,0.27
655,0,0.79,0.21
656,0,0.75,0.25
